REGION,FUEL,YEAR,VALUE
R2,ELCNPLXX02,2020,40.65588
R2,ELCNPLXX02,2021,46.0192896
R2,ELCNPLXX02,2022,51.3826992
R2,ELCNPLXX02,2023,56.7461088
R2,ELCNPLXX02,2024,62.1095184
R2,ELCNPLXX02,2025,67.472928
R2,ELCNPLXX02,2026,73.7793648
R2,ELCNPLXX02,2027,80.0858016
R2,ELCNPLXX02,2028,86.3922384
R2,ELCNPLXX02,2029,92.6986752
R2,ELCNPLXX02,2030,99.005112
R2,ELCNPLXX02,2031,106.1395128
R2,ELCNPLXX02,2032,113.2739136
R2,ELCNPLXX02,2033,120.4083144
R2,ELCNPLXX02,2034,127.5427152
R2,ELCNPLXX02,2035,134.677116
R2,ELCNPLXX02,2036,142.63794
R2,ELCNPLXX02,2037,150.598764
R2,ELCNPLXX02,2038,158.559588
R2,ELCNPLXX02,2039,166.520412
R2,ELCNPLXX02,2040,174.481236
R2,ELCNPLXX02,2041,183.154104
R2,ELCNPLXX02,2042,191.826972
R2,ELCNPLXX02,2043,200.49984
R2,ELCNPLXX02,2044,209.172708
R2,ELCNPLXX02,2045,217.845576
R2,ELCNPLXX02,2046,227.449188
R2,ELCNPLXX02,2047,237.0528
R2,ELCNPLXX02,2048,246.656412
R2,ELCNPLXX02,2049,256.260024
R2,ELCNPLXX02,2050,265.863636
R2,ELCNPLXX02,2051,277.9509168
R2,ELCNPLXX02,2052,290.0381976
R2,ELCNPLXX02,2053,302.1254784
R2,ELCNPLXX02,2054,314.2127592
R2,ELCNPLXX02,2055,326.30004
R2,ELCNPLXX02,2056,339.6994704
R2,ELCNPLXX02,2057,353.0989008
R2,ELCNPLXX02,2058,366.4983312
R2,ELCNPLXX02,2059,379.8977616
R2,ELCNPLXX02,2060,393.297192
R2,ELCNPLXX02,2061,408.002292
R2,ELCNPLXX02,2062,422.707392
R2,ELCNPLXX02,2063,437.412492
R2,ELCNPLXX02,2064,452.117592
R2,ELCNPLXX02,2065,466.822692
R2,ELCNPLXX02,2066,482.9159088
R2,ELCNPLXX02,2067,499.0091256
R2,ELCNPLXX02,2068,515.1023424
R2,ELCNPLXX02,2069,531.1955592
R2,ELCNPLXX02,2070,547.288776
